level_index,difficulty,total_pigs,birds,success,pigs_destroyed,shots_used,permutations_tried,total_runtime,runtime_for_solution
0,easy,10,5,False,8,3,1000,0.44431233406066895,0.0005636215209960938
1,easy,10,5,False,8,5,1000,0.13042211532592773,0.00015020370483398438
2,easy,10,5,False,9,2,1000,0.4321279525756836,0.00035953521728515625
3,easy,10,5,False,6,5,1000,0.6634137630462646,0.0005400180816650391
4,easy,10,5,False,8,5,1000,1.2263240814208984,0.0014951229095458984
5,easy,10,5,False,9,4,1000,1.1274311542510986,0.0010449886322021484
6,easy,10,5,False,9,4,1000,0.563694953918457,0.0011882781982421875
7,easy,10,5,False,8,5,1000,0.20380687713623047,0.0003800392150878906
8,easy,10,5,False,9,3,1000,0.24985933303833008,0.00023698806762695312
9,easy,10,5,False,7,4,1000,0.5030314922332764,0.00047278404235839844
10,medium,12,5,True,12,1,1,0.0003552436828613281,0.000339508056640625
11,medium,12,5,False,10,3,1000,0.4215579032897949,0.0004410743713378906
12,medium,12,4,False,9,4,1000,1.020113229751587,0.001735687255859375
13,medium,12,5,False,10,5,1000,0.9967341423034668,0.0011136531829833984
14,medium,12,5,False,11,3,1000,0.5631272792816162,0.00046706199645996094
15,medium,12,4,False,9,4,1000,0.8913674354553223,0.0008947849273681641
16,medium,12,5,False,10,5,1000,0.8866591453552246,0.0009555816650390625
17,medium,12,4,False,7,4,1000,0.759467363357544,0.0006852149963378906
18,medium,12,5,False,10,4,1000,0.23712801933288574,0.00041294097900390625
19,medium,12,5,False,5,5,1000,0.8560581207275391,0.0008134841918945312
20,hard,15,4,False,10,4,1000,0.8690118789672852,0.0008480548858642578
21,hard,15,4,False,12,4,1000,0.9301681518554688,0.0008950233459472656
22,hard,15,4,False,13,3,1000,2.0079457759857178,0.0011031627655029297
23,hard,15,3,False,12,3,1000,0.2843799591064453,0.0004942417144775391
24,hard,15,3,False,14,3,1000,0.9886970520019531,0.0011548995971679688
25,hard,15,3,False,0,,1000,0.2948451042175293,
26,hard,15,4,False,13,4,1000,0.387362003326416,0.0003933906555175781
27,hard,15,3,False,13,3,1000,0.45795512199401855,0.0005130767822265625
28,hard,15,3,False,11,3,1000,0.2351522445678711,0.00031256675720214844
29,hard,15,4,False,0,,1000,0.675041675567627,
