level_index,difficulty,total_pigs,birds,success,pigs_destroyed,birds_used,runtime_total
0,easy,10,5,False,8,5,0.6332330703735352
1,easy,10,5,False,0,5,0.11333298683166504
2,easy,10,5,False,8,5,0.7431788444519043
3,easy,10,5,False,6,5,0.3719754219055176
4,easy,10,5,False,8,5,0.6055953502655029
5,easy,10,5,False,9,5,0.7006516456604004
6,easy,10,5,False,0,5,0.4492218494415283
7,easy,10,5,False,8,5,0.25324082374572754
8,easy,10,5,False,9,5,0.2705113887786865
9,easy,10,5,False,7,5,0.5034677982330322
10,medium,12,5,True,12,5,0.27234697341918945
11,medium,12,5,False,10,5,0.5693650245666504
12,medium,12,4,False,9,4,0.8000962734222412
13,medium,12,5,False,10,5,0.8374135494232178
14,medium,12,5,False,11,5,0.6694645881652832
15,medium,12,4,False,9,4,0.7026515007019043
16,medium,12,5,False,9,5,0.7680583000183105
17,medium,12,4,False,7,4,1.0648019313812256
18,medium,12,5,False,0,5,0.6605861186981201
19,medium,12,5,False,0,5,0.9153785705566406
20,hard,15,4,False,12,4,0.6057782173156738
21,hard,15,4,False,12,4,0.641751766204834
22,hard,15,4,False,13,4,1.0812530517578125
23,hard,15,3,False,0,3,0.19199466705322266
24,hard,15,3,False,14,3,0.634894609451294
25,hard,15,3,False,9,3,0.32862257957458496
26,hard,15,4,False,13,4,0.2972066402435303
27,hard,15,3,False,0,3,0.2516050338745117
28,hard,15,3,False,0,3,0.20297837257385254
29,hard,15,4,False,0,4,0.6250941753387451
