n,m,BruteForce_Size,BruteForce_Time(s),Approx_Size,Approx_Time(s),Approx_Factor
10,10,5,0.0002014636993408203,6,4.315376281738281e-05,1.2
10,20,6,0.00037741661071777344,8,2.384185791015625e-05,1.3333333333333333
10,30,7,0.00048828125,8,3.266334533691406e-05,1.1428571428571428
10,40,8,0.00063323974609375,10,7.390975952148438e-05,1.25
10,50,9,0.0009403228759765625,10,7.867813110351562e-05,1.1111111111111112
10,60,9,0.0008015632629394531,10,5.4836273193359375e-05,1.1111111111111112
10,70,9,0.0006804466247558594,10,5.4836273193359375e-05,1.1111111111111112
10,80,9,0.0006914138793945312,10,5.53131103515625e-05,1.1111111111111112
10,90,9,0.0007107257843017578,10,5.6743621826171875e-05,1.1111111111111112
10,100,9,0.0006868839263916016,10,5.8650970458984375e-05,1.1111111111111112
